categoria,subcategoria,regiao,valor,caso_esperado
Eletronicos,Smartphones,Sudeste,48500,dominante
Eletronicos,Smartphones,Sul,36200,dominante
Eletronicos,Smartphones,Norte,14200,alto
Eletronicos,Smartphones,Centro,11800,alto
Eletronicos,Notebooks,Sudeste,33100,dominante
Eletronicos,Notebooks,Sul,12900,alto
Eletronicos,Notebooks,Norte,7600,medio
Eletronicos,Notebooks,Centro,1800,baixo
Eletronicos,TVs,Sudeste,9400,medio
Eletronicos,TVs,Sul,6800,medio
Eletronicos,TVs,Norte,1500,baixo
Eletronicos,TVs,Centro,900,baixo
Eletronicos,Smartphones,Sudeste,27500,alto
Eletronicos,Notebooks,Sudeste,12200,alto
Eletronicos,TVs,Sul,5400,medio
Eletronicos,Smartphones,Norte,1900,baixo
Eletronicos,Notebooks,Centro,41000,dominante
Eletronicos,TVs,Centro,8700,medio
Eletronicos,Smartphones,Sul,1320,baixo
Eletronicos,Notebooks,Norte,5600,medio
Alimentos,Graos,Sudeste,45200,dominante
Alimentos,Graos,Sul,33800,dominante
Alimentos,Graos,Norte,11400,alto
Alimentos,Graos,Centro,9600,medio
Alimentos,Laticinios,Sudeste,17200,alto
Alimentos,Laticinios,Sul,12500,alto
Alimentos,Laticinios,Norte,6900,medio
Alimentos,Laticinios,Centro,1700,baixo
Alimentos,Bebidas,Sudeste,30700,dominante
Alimentos,Bebidas,Sul,14600,alto
Alimentos,Bebidas,Norte,5300,medio
Alimentos,Bebidas,Centro,1200,baixo
Alimentos,Graos,Sudeste,28900,alto
Alimentos,Laticinios,Sul,8200,medio
Alimentos,Bebidas,Centro,36000,dominante
Alimentos,Graos,Norte,1600,baixo
Alimentos,Laticinios,Centro,9800,medio
Alimentos,Bebidas,Sudeste,13800,alto
Alimentos,Graos,Sul,1450,baixo
Alimentos,Laticinios,Norte,34400,dominante
Vestuario,Camisetas,Sudeste,39800,dominante
Vestuario,Camisetas,Sul,15400,alto
Vestuario,Camisetas,Norte,7200,medio
Vestuario,Camisetas,Centro,1100,baixo
Vestuario,Calcados,Sudeste,28600,alto
Vestuario,Calcados,Sul,33200,dominante
Vestuario,Calcados,Norte,6400,medio
Vestuario,Calcados,Centro,1900,baixo
Vestuario,Acessorios,Sudeste,8900,medio
Vestuario,Acessorios,Sul,5700,medio
Vestuario,Acessorios,Norte,1300,baixo
Vestuario,Acessorios,Centro,840,baixo
Vestuario,Camisetas,Sudeste,12600,alto
Vestuario,Calcados,Centro,35200,dominante
Vestuario,Acessorios,Sul,11900,alto
Vestuario,Camisetas,Norte,1750,baixo
Vestuario,Calcados,Sudeste,9300,medio
Vestuario,Acessorios,Centro,31800,dominante
Vestuario,Camisetas,Sul,6100,medio
Vestuario,Acessorios,Norte,14200,alto
